id,username,password
0,KaitsevueeAkadeemia172,4vc8QVqWyU
1,FiaUFundaueueoInstitutoDe1168,Bc53S0goue
2,BostonSchoolOfSocialWork4076,6qlg1EfPAH
3,GeorgeWashingtonCollegeOfProfessional645,OtvfQLn8uw
4,NewJerseyInstituteOfTechnology694,lvR9FU3Mfn
5,GeorgetownGraduateSchoolOfArts827,wgbOKBSuIV
6,IonisEducationGroup1064,meRbMcKs3V
7,OfNewHampshireGraduateSchool1925,zBJg6K2SEQ
8,LoyolaNewOrleansCollegeOf3206,1l5tFaWMUP
9,FranklinSwitzerland868,W9HRVZMpJI
10,DharmaRealmBuddhist3389,8rRxHVCEpy
11,BurgasProfAssenZlatarov2041,r9TAdkYwVh
12,CatolicaPortoBusinessSchool2169,GkTXafOEwM
13,LomzaStateOfAppliedSciences4284,ydhoMP9Av5
14,TheGeorgeWashingtonSchoolOf3688,cuS72zOPjx
15,OfSavoieMontBlanc3287,haSPJITqGb
16,EtacUniversidadEtac186,beLJH4x7Xz
17,KeanMichaelGravesCollegeArchitecture637,6XN3qgborV
18,OfSouthFloridaTampa2124,jWBTKn7sdE
19,HowardPayne3597,WTXcNYJ65Q
20,Insead137,XFt9DyRTqo
21,CentreForResearchAndTechnological1634,BW8PGmyTn3
22,TheHongKongPolytechnicDepartment11,NHVkL5RfI7
23,NovosibirskState2054,XE9mTVJln0
24,MassachusettsMaritimeAcademy1325,2l6MwDYX47
25,JuniaGraduateSchoolOfEngineering705,2wLdUMn8qe
26,OfAlabamaAtBirmingham3848,Xk0LVteWlg
27,WarrenWilsonCollege1831,Si761fH8Tn
28,CollegeOfEstateManagement1621,jTJBWm8EKN
29,KansasStateCollegeOfHuman3068,slCNkaGUDK
30,OfCinemaStudies3627,g7oNZu0shY
31,InstitutoArtesVisuales839,84Xek6AjKo
32,Indiana4091,OUAvdpEguy
33,SouthwestOfVisualArts826,gfL9zlXDN0
34,MsuMoscowStateGraduateSchool1366,BHMNZ4yoku
35,OfSouthBohemiaUFaculty3041,CSkq0HpwZ9
36,TheOfTheWestIndies4115,tlR25KUIzy
37,CaliforniaLutheran2182,zG7YDMpsa2
38,UniversitiMalaysiaSarawak85,O8XBTtPFoN
39,WesternMichigan2409,Kzjbd9LHOe
40,CollegeOfCharlestonSchoolOf714,rbUjCZzk2h
41,PointLomaNazarene3931,k8AForBjeS
42,CairnOnline528,kfLoP8q9Np
43,AndrewJackson249,BdKw0ivnUM
44,TheHongKongPolytechnicFaculty398,t3iwFzuGqE
45,OfLincoln363,XDOm1U24IP
46,Idfood1425,gGsIuQFl8Y
47,PrivateOfEnvironmentalSciences3048,KnoEg5Yq21
48,WashingtonInStLouisMckelvey2766,YF4uBT8iAd
49,BrandeisGraduateSchoolOfArts4042,A3FLoJMd9v
50,Enac166,B3dyVEZlQx
51,SimonBolivarUniversidadSimufnBoluedvar1367,w6kqYeHgiR
52,HanOfAppliedSciences2654,tHQ0JFgP65
53,OfAlaskaFairbanks4000,qQztnK1j8F
54,OfKoblenzlandau3042,KzZvFWQ3Aq
55,NationalTaipeiOfEducation2495,NZjLhtr02C
