id,email,passwordHashed,registrationDate,role,username,emailVerified
0,,admin,,UNIVERSITYADMIN,KaitsevueeAkadeemia172,false
1,,admin,,UNIVERSITYADMIN,FiaUFundaueueoInstitutoDe1168,false
2,,admin,,UNIVERSITYADMIN,BostonSchoolOfSocialWork4076,false
3,,admin,,UNIVERSITYADMIN,GeorgeWashingtonCollegeOfProfessional645,false
4,,admin,,UNIVERSITYADMIN,NewJerseyInstituteOfTechnology694,false
5,,admin,,UNIVERSITYADMIN,GeorgetownGraduateSchoolOfArts827,false
6,,admin,,UNIVERSITYADMIN,IonisEducationGroup1064,false
7,,admin,,UNIVERSITYADMIN,OfNewHampshireGraduateSchool1925,false
8,,admin,,UNIVERSITYADMIN,LoyolaNewOrleansCollegeOf3206,false
9,,admin,,UNIVERSITYADMIN,FranklinSwitzerland868,false
10,,admin,,UNIVERSITYADMIN,DharmaRealmBuddhist3389,false
11,,admin,,UNIVERSITYADMIN,BurgasProfAssenZlatarov2041,false
12,,admin,,UNIVERSITYADMIN,CatolicaPortoBusinessSchool2169,false
13,,admin,,UNIVERSITYADMIN,LomzaStateOfAppliedSciences4284,false
14,,admin,,UNIVERSITYADMIN,TheGeorgeWashingtonSchoolOf3688,false
15,,admin,,UNIVERSITYADMIN,OfSavoieMontBlanc3287,false
16,,admin,,UNIVERSITYADMIN,EtacUniversidadEtac186,false
17,,admin,,UNIVERSITYADMIN,KeanMichaelGravesCollegeArchitecture637,false
18,,admin,,UNIVERSITYADMIN,OfSouthFloridaTampa2124,false
19,,admin,,UNIVERSITYADMIN,HowardPayne3597,false
20,,admin,,UNIVERSITYADMIN,Insead137,false
21,,admin,,UNIVERSITYADMIN,CentreForResearchAndTechnological1634,false
22,,admin,,UNIVERSITYADMIN,TheHongKongPolytechnicDepartment11,false
23,,admin,,UNIVERSITYADMIN,NovosibirskState2054,false
24,,admin,,UNIVERSITYADMIN,MassachusettsMaritimeAcademy1325,false
25,,admin,,UNIVERSITYADMIN,JuniaGraduateSchoolOfEngineering705,false
26,,admin,,UNIVERSITYADMIN,OfAlabamaAtBirmingham3848,false
27,,admin,,UNIVERSITYADMIN,WarrenWilsonCollege1831,false
